
75   6400000,075
149,999999988547   6400000,15097734
224,999999954187   6400000,22793203
299,999999885468   6400000,30586406
374,999999770935   6400000,38477344
449,999999599136   6400000,46466016
524,999999358618   6400000,54552422
599,999999037927   6400000,62736562
674,999998625611   6400000,71018437
749,999998110215   6400000,79398046
824,999997480286   6400000,8787539
899,999996724372   6400000,96450468
974,999995831019   6400001,0512328
1049,99999478877   6400001,13893827
1124,99999358618   6400001,22762108
1199,99999221179   6400001,31728123
1274,99999065415   6400001,40791873
1349,99998890181   6400001,49953357
1424,9999869433   6400001,59212575
1499,99998476719   6400001,68569528
1574,99998236201   6400001,78024215
1649,99997971631   6400001,87576636
1724,99997681864   6400001,97226791
1799,99997365754   6400002,06974681
1874,99997022157   6400002,16820305
1949,99996649927   6400002,26763664
2024,99996247918   6400002,36804756
2099,99995814986   6400002,46943583
2174,99995349985   6400002,57180145
2249,99994851769   6400002,6751444
2324,99994319193   6400002,7794647
2399,99993751113   6400002,88476234
2474,99993146382   6400002,99103733
2549,99992503855   6400003,09828965
2624,99991822388   6400003,20651932
2699,99991100834   6400003,31572633
2774,99990338049   6400003,42591069
2849,99989532887   6400003,53707238
2924,99988684202   6400003,64921142
2999,9998779085   6400003,76232781
3074,99986851685   6400003,87642153
3149,99985865562   6400003,99149259
3224,99984831335   6400004,107541
3299,99983747859   6400004,22456675
3374,99982613989   6400004,34256984
3449,9998142858   6400004,46155028
3524,99980190486   6400004,58150805
3599,99978898562   6400004,70244317
3674,99977551662   6400004,82435563
3749,99976148642   6400004,94724543
3824,99974688356   6400005,07111258
3899,99973169658   6400005,19595706
3974,99971591403   6400005,32177889
4049,99969952447   6400005,44857806
4124,99968251643   6400005,57635457
4199,99966487846   6400005,70510842
4274,99964659912   6400005,83483961
4349,99962766694   6400005,96554814
4424,99960807048   6400006,09723402
4499,99958779827   6400006,22989724
4574,99956683888   6400006,36353779
4649,99954518084   6400006,49815569
4724,9995228127   6400006,63375093
4799,99949972301   6400006,77032351
4874,99947590032   6400006,90787343
4949,99945133316   6400007,0464007
5024,9994260101   6400007,1859053
5099,99939991967   6400007,32638724
5174,99937305042   6400007,46784653
5249,99934539091   6400007,61028315
5324,99931692967   6400007,75369712
