
100   6400000,1
20199,9790224756   6400040,04094335
20299,9787093804   6400040,33836476
20399,9783931852   6400040,63676349
20499,9780738748   6400040,93613953
20599,977751434   6400041,23649289
20699,9774258475   6400041,53782357
20799,9770971   6400041,84013156
20899,9767651763   6400042,14341686
20999,976430061   6400042,44767949
21099,976091739   6400042,75291942
21199,9757501949   6400043,05913668
21299,9754054134   6400043,36633124
21399,9750573794   6400043,67450312
21499,9747060775   6400043,98365232
21599,9743514925   6400044,29377883
21699,973993609   6400044,60488265
21799,9736324119   6400044,91696379
21899,9732678858   6400045,23002223
21999,9729000155   6400045,544058
22099,9725287858   6400045,85907107
22199,9721541812   6400046,17506146
22299,9717761867   6400046,49202915
22399,9713947869   6400046,80997416
22499,9710099665   6400047,12889648
22599,9706217102   6400047,44879612
22699,9702300029   6400047,76967306
22799,9698348292   6400048,09152731
22899,9694361739   6400048,41435888
22999,9690340217   6400048,73816775
23099,9686283572   6400049,06295394
23199,9682191654   6400049,38871743
23299,9678064308   6400049,71545824
23399,9673901382   6400050,04317635
23499,9669702724   6400050,37187177
23599,9665468181   6400050,7015445
23699,96611976   6400051,03219454
23799,9656890828   6400051,36382189
23899,9652547713   6400051,69642654
23999,9648168102   6400052,03000851
24099,9643751842   6400052,36456778
24199,9639298781   6400052,70010435
24299,9634808766   6400053,03661824
24399,9630281644   6400053,37410943
24499,9625717263   6400053,71257792
24599,9621115469   6400054,05202372
24699,9616476111   6400054,39244683
24799,9611799035   6400054,73384724
24899,9607084089   6400055,07622496
24999,960233112   6400055,41957998
25099,9597539976   6400055,76391231
25199,9592710503   6400056,10922194
25299,958784255   6400056,45550887
25399,9582935962   6400056,80277311
25499,9577990589   6400057,15101465
25599,9573006276   6400057,5002335
25699,9567982872   6400057,85042965
25799,9562920224   6400058,2016031
25899,9557818178   6400058,55375385
25999,9552676582   6400058,9068819
26099,9547495285   6400059,26098726
26199,9542274132   6400059,61606991
26299,9537012971   6400059,97212987
26399,9531711649   6400060,32916713
26499,9526370015   6400060,68718169
26599,9520987915   6400061,04617355
26699,9515565196   6400061,40614271
26799,9510101705   6400061,76708916
26899,9504597291   6400062,12901292
26999,94990518   6400062,49191398
27099,949346508   6400062,85579233
27199,9487836978   6400063,22064798
27299,9482167342   6400063,58648094
27399,9476456018   6400063,95329118
27499,9470702853   6400064,32107873
27599,9464907697   6400064,68984357
27699,9459070394   6400065,05958571
27799,9453190794   6400065,43030515
27899,9447268743   6400065,80200188
27999,9441304088   6400066,17467591
28099,9435296677   6400066,54832723
28199,9429246358   6400066,92295585
28299,9423152977   6400067,29856176
28399,9417016381   6400067,67514497
28499,9410836419   6400068,05270547
28599,9404612937   6400068,43124327
28699,9398345783   6400068,81075836
28799,9392034804   6400069,19125074
28899,9385679848   6400069,57272042
28999,9379280761   6400069,95516739
29099,9372837391   6400070,33859165
29199,9366349586   6400070,7229932
29299,9359817192   6400071,10837205
29399,9353240057   6400071,49472818
29499,9346618029   6400071,88206161
29599,9339950954   6400072,27037233
29699,933323868   6400072,65966033
29799,9326481054   6400073,04992563
29899,9319677924   6400073,44116822
29999,9312829136   6400073,83338809
30099,9305934539   6400074,22658526
30199,929899398   6400074,62075972
30299,9292007305   6400075,01591146
30399,9284974362   6400075,41204049
30499,9277894999   6400075,80914681
30599,9270769063   6400076,20723041
30699,9263596401   6400076,60629131
30799,9256376861   6400077,00632948
30899,9249110289   6400077,40734495
30999,9241796533   6400077,8093377
31099,9234435441   6400078,21230774
31199,9227026859   6400078,61625506
31299,9219570635   6400079,02117967
31399,9212066617   6400079,42708156
31499,9204514652   6400079,83396073
31599,9196914587   6400080,24181719
31699,9189266268   6400080,65065094
31799,9181569545   6400081,06046196
31899,9173824264   6400081,47125027
31999,9166030272   6400081,88301586
32099,9158187416   6400082,29575874
32199,9150295545   6400082,70947889
32299,9142354505   6400083,12417633
32399,9134364143   6400083,53985105
32499,9126324308   6400083,95650305
32599,9118234845   6400084,37413232
32699,9110095604   6400084,79273888
32799,910190643   6400085,21232272
32899,9093667171   6400085,63288384
32999,9085377675   6400086,05442224
33099,9077037789   6400086,47693791
33199,9068647361   6400086,90043086
33299,9060206236   6400087,3249011
33399,9051714264   6400087,7503486
33499,9043171291   6400088,17677339
33599,9034577164   6400088,60417545
33699,9025931731   6400089,03255479
33799,9017234839   6400089,4619114
33899,9008486336   6400089,89224529
33999,8999686069   6400090,32355646
34099,8990833885   6400090,7558449
34199,8981929631   6400091,18911061
34299,8972973155   6400091,6233536
34399,8963964304   6400092,05857386
34499,8954902926   6400092,4947714
34599,8945788868   6400092,93194621
34699,8936621977   6400093,37009829
34799,89274021   6400093,80922764
34899,8918129085   6400094,24933426
34999,8908802779   6400094,69041816
35099,8899423029   6400095,13247933
35199,8889989684   6400095,57551776
35299,8880502589   6400096,01953347
35399,8870961593   6400096,46452645
35499,8861366542   6400096,9104967
35599,8851717285   6400097,35744421
35699,8842013668   6400097,805369
35799,8832255539   6400098,25427105
35899,8822442745   6400098,70415037
35999,8812575134   6400099,15500696
36099,8802652552   6400099,60684081
36199,8792674847   6400100,05965193
36299,8782641867   6400100,51344032
36399,8772553458   6400100,96820598
36499,8762409469   6400101,4239489
36599,8752209746   6400101,88066908
36699,8741954137   6400102,33836653
36799,8731642489   6400102,79704124
36899,8721274649   6400103,25669322
36999,8710850465   6400103,71732246
37099,8700369784   6400104,17892897
37199,8689832453   6400104,64151273
37299,8679238321   6400105,10507376
37399,8668587233   6400105,56961206
37499,8657879038   6400106,03512761
37599,8647113582   6400106,50162042
37699,8636290714   6400106,96909049
37799,862541028   6400107,43753783
37899,8614472128   6400107,90696242
37999,8603476105   6400108,37736428
38099,8592422058   6400108,84874339
38199,8581309836   6400109,32109976
38299,8570139284   6400109,79443339
38399,8558910251   6400110,26874428
38499,8547622583   6400110,74403242
38599,8536276129   6400111,22029782
38699,8524870735   6400111,69754048
38799,8513406249   6400112,17576039
38899,8501882518   6400112,65495756
38999,849029939   6400113,13513198
39099,8478656711   6400113,61628366
39199,846695433   6400114,0984126
39299,8455192093   6400114,58151878
39399,8443369848   6400115,06560223
39499,8431487442   6400115,55066292
39599,8419544723   6400116,03670087
39699,8407541537   6400116,52371606
39799,8395477733   6400117,01170851
39899,8383353157   6400117,50067822
39999,8371167657   6400117,99062517
40099,8358921081   6400118,48154937
40199,8346613275   6400118,97345083
40299,8334244086   6400119,46632953
40399,8321813363   6400119,96018548
40499,8309320953   6400120,45501868
40599,8296766703   6400120,95082913
40699,8284150459   6400121,44761683
40799,8271472071   6400121,94538177
40899,8258731384   6400122,44412396
40999,8245928247   6400122,9438434
41099,8233062506   6400123,44454008
41199,822013401   6400123,94621401
41299,8207142604   6400124,44886519
41399,8194088138   6400124,95249361
41499,8180970457   6400125,45709927
41599,816778941   6400125,96268218
41699,8154544843   6400126,46924233
41799,8141236605   6400126,97677972
41899,8127864542   6400127,48529436
41999,8114428501   6400127,99478623
42099,8100928331   6400128,50525535
42199,8087363878   6400129,01670171
42299,807373499   6400129,52912531
42399,8060041514   6400130,04252615
42499,8046283298   6400130,55690424
42599,8032460188   6400131,07225956
42699,8018572033   6400131,58859211
42799,8004618679   6400132,10590191
42899,7990599974   6400132,62418895
42999,7976515765   6400133,14345322
43099,79623659   6400133,66369473
43199,7948150226   6400134,18491347
43299,793386859   6400134,70710946
43399,7919520839   6400135,23028267
43499,7905106822   6400135,75443313
43599,7890626385   6400136,27956081
43699,7876079375   6400136,80566573
43799,7861465641   6400137,33274789
43899,7846785029   6400137,86080727
43999,7832037386   6400138,3898439
44099,7817222561   6400138,91985775
44199,78023404   6400139,45084883
44299,7787390751   6400139,98281715
44399,7772373461   6400140,51576269
44499,7757288378   6400141,04968547
44599,7742135348   6400141,58458548
44699,772691422   6400142,12046271
44799,771162484   6400142,65731718
44899,7696267056   6400143,19514887
44999,7680840715   6400143,73395779
45099,7665345664   6400144,27374394
45199,7649781752   6400144,81450731
45299,7634148825   6400145,35624792
45399,7618446731   6400145,89896574
45499,7602675317   6400146,4426608
45599,758683443   6400146,98733307
45699,7570923918   6400147,53298258
45799,7554943627   6400148,0796093
45899,7538893407   6400148,62721325
45999,7522773103   6400149,17579443
46099,7506582563   6400149,72535282
46199,7490321635   6400150,27588844
46299,7473990166   6400150,82740128
46399,7457588002   6400151,37989134
46499,7441114993   6400151,93335862
46599,7424570984   6400152,48780312
46699,7407955824   6400153,04322484
46799,7391269359   6400153,59962377
46899,7374511438   6400154,15699993
46999,7357681906   6400154,71535331
47099,7340780613   6400155,2746839
47199,7323807404   6400155,83499171
47299,7306762128   6400156,39627673
47399,7289644632   6400156,95853897
47499,7272454763   6400157,52177843
47599,7255192369   6400158,0859951
47699,7237857296   6400158,65118899
47799,7220449393   6400159,21736009
47899,7202968506   6400159,7845084
47999,7185414483   6400160,35263393
48099,7167787172   6400160,92173667
48199,7150086419   6400161,49181662
48299,7132312072   6400162,06287378
48399,7114463979   6400162,63490815
48499,7096541987   6400163,20791974
48599,7078545943   6400163,78190853
48699,7060475694   6400164,35687453
48799,7042331088   6400164,93281774
48899,7024111972   6400165,50973816
48999,7005818194   6400166,08763579
49099,6987449601   6400166,66651062
49199,6969006041   6400167,24636266
49299,695048736   6400167,8271919
49399,6931893406   6400168,40899836
49499,6913224027   6400168,99178201
49599,6894479069   6400169,57554287
49699,6875658381   6400170,16028094
49799,6856761809   6400170,74599621
49899,6837789201   6400171,33268868
49999,6818740404   6400171,92035835
50099,6799615266   6400172,50900522
50199,6780413634   6400173,0986293
50299,6761135355   6400173,68923058
50399,6741780277   6400174,28080906
50499,6722348247   6400174,87336473
50599,6702839113   6400175,46689761
50699,6683252722   6400176,06140768
50799,6663588921   6400176,65689495
50899,6643847557   6400177,25335942
50999,6624028478   6400177,85080109
51099,6604131532   6400178,44921996
51199,6584156566   6400179,04861601
51299,6564103426   6400179,64898927
51399,6543971961   6400180,25033972
51499,6523762018   6400180,85266736
51599,6503473444   6400181,4559722
51699,6483106087   6400182,06025423
51799,6462659793   6400182,66551345
51899,6442134411   6400183,27174986
51999,6421529788   6400183,87896347
52099,640084577   6400184,48715427
52199,6380082206   6400185,09632225
52299,6359238943   6400185,70646743
52399,6338315828   6400186,3175898
52499,6317312709   6400186,92968935
52599,6296229433   6400187,54276609
52699,6275065847   6400188,15682002
52799,6253821798   6400188,77185114
52899,6232497135   6400189,38785944
52999,6211091704   6400190,00484493
53099,6189605353   6400190,62280761
53199,616803793   6400191,24174746
53299,614638928   6400191,86166451
53399,6124659253   6400192,48255873
53499,6102847695   6400193,10443014
53599,6080954454   6400193,72727873
53699,6058979377   6400194,35110451
53799,6036922312   6400194,97590746
53899,6014783105   6400195,6016876
53999,5992561604   6400196,22844491
54099,5970257658   6400196,85617941
54199,5947871112   6400197,48489108
54299,5925401814   6400198,11457993
54399,5902849613   6400198,74524596
54499,5880214354   6400199,37688917
54599,5857495886   6400200,00950955
54699,5834694056   6400200,64310711
54799,5811808711   6400201,27768185
54899,5788839699   6400201,91323376
54999,5765786867   6400202,54976284
55099,5742650062   6400203,1872691
55199,5719429132   6400203,82575253
55299,5696123925   6400204,46521313
55399,5672734287   6400205,1056509
55499,5649260066   6400205,74706585
55599,5625701109   6400206,38945797
55699,5602057264   6400207,03282725
55799,5578328378   6400207,67717371
55899,5554514299   6400208,32249734
55999,5530614874   6400208,96879813
56099,550662995   6400209,61607609
56199,5482559374   6400210,26433122
56299,5458402995   6400210,91356352
56399,5434160659   6400211,56377298
56499,5409832214   6400212,2149596
56599,5385417508   6400212,86712339
56699,5360916387   6400213,52026435
56799,5336328699   6400214,17438247
56899,5311654291   6400214,82947775
56999,5286893011   6400215,48555019
57099,5262044706   6400216,1425998
57199,5237109224   6400216,80062656
57299,5212086412   6400217,45963049
57399,5186976117   6400218,11961158
57499,5161778187   6400218,78056982
57599,513649247   6400219,44250523
57699,5111118811   6400220,10541779
57799,508565706   6400220,76930751
57899,5060107063   6400221,43417439
57999,5034468667   6400222,10001842
58099,5008741721   6400222,76683961
58199,4982926071   6400223,43463795
58299,4957021565   6400224,10341345
58399,4931028051   6400224,7731661
58499,4904945375   6400225,44389591
58599,4878773385   6400226,11560286
58699,4852511929   6400226,78828697
58799,4826160853   6400227,46194823
58899,4799720006   6400228,13658664
58999,4773189235   6400228,81220221
59099,4746568386   6400229,48879491
59199,4719857308   6400230,16636477
59299,4693055848   6400230,84491178
59399,4666163853   6400231,52443593
59499,4639181171   6400232,20493724
59599,4612107649   6400232,88641568
59699,4584943134   6400233,56887128
59799,4557687475   6400234,25230401
59899,4530340517   6400234,93671389
59999,4502902109   6400235,62210092
60099,4475372098   6400236,30846509
60199,4447750332   6400236,9958064
60299,4420036657   6400237,68412485
60399,4392230922   6400238,37342045
60499,4364332974   6400239,06369318
60599,4336342659   6400239,75494305
60699,4308259826   6400240,44717006
60799,4280084322   6400241,14037422
60899,4251815994   6400241,8345555
60999,422345469   6400242,52971393
61099,4195000257   6400243,22584949
61199,4166452542   6400243,92296219
61299,4137811393   6400244,62105203
61399,4109076658   6400245,32011899
61499,4080248183   6400246,0201631
61599,4051325816   6400246,72118433
61699,4022309405   6400247,4231827
61799,3993198797   6400248,1261582
61899,3963993839   6400248,83011083
61999,3934694379   6400249,53504059
62099,3905300264   6400250,24094749
62199,3875811341   6400250,94783151
62299,3846227459   6400251,65569266
62399,3816548464   6400252,36453094
62499,3786774204   6400253,07434634
62599,3756904525   6400253,78513888
62699,3726939277   6400254,49690853
62799,3696878305   6400255,20965532
62899,3666721458   6400255,92337923
62999,3636468583   6400256,63808026
63099,3606119527   6400257,35375841
63199,3575674138   6400258,07041369
63299,3545132263   6400258,78804609
63399,3514493749   6400259,50665561
63499,3483758444   6400260,22624226
63599,3452926195   6400260,94680602
63699,342199685   6400261,6683469
63799,3390970257   6400262,3908649
63899,3359846262   6400263,11436002
63999,3328624712   6400263,83883226
64099,3297305457   6400264,56428161
64199,3265888342   6400265,29070808
64299,3234373215   6400266,01811166
64399,3202759924   6400266,74649236
64499,3171048316   6400267,47585017
64599,3139238238   6400268,2061851
64699,3107329538   6400268,93749713
64799,3075322064   6400269,66978628
64899,3043215662   6400270,40305254
64999,3011010181   6400271,13729592
65099,2978705467   6400271,8725164
65199,2946301368   6400272,60871399
65299,2913797731   6400273,34588868
65399,2881194404   6400274,08404049
65499,2848491235   6400274,8231694
65599,281568807   6400275,56327542
65699,2782784757   6400276,30435855
65799,2749781144   6400277,04641878
65899,2716677077   6400277,78945611
65999,2683472405   6400278,53347055
66099,2650166975   6400279,27846209
66199,2616760634   6400280,02443073
66299,2583253229   6400280,77137648
66399,2549644609   6400281,51929932
66499,251593462   6400282,26819927
66599,248212311   6400283,01807631
66699,2448209926   6400283,76893045
66799,2414194916   6400284,5207617
66899,2380077927   6400285,27357003
66999,2345858807   6400286,02735547
67099,2311537403   6400286,782118
67199,2277113562   6400287,53785762
67299,2242587132   6400288,29457434
67399,2207957961   6400289,05226816
67499,2173225895   6400289,81093906
67599,2138390782   6400290,57058706
67699,210345247   6400291,33121215
67799,2068410806   6400292,09281433
67899,2033265638   6400292,8553936
67999,1998016812   6400293,61894996
68099,1962664177   6400294,38348341
68199,1927207579   6400295,14899395
68299,1891646866   6400295,91548157
68399,1855981887   6400296,68294628
68499,1820212487   6400297,45138808
68599,1784338514   6400298,22080696
68699,1748359817   6400298,99120293
68799,1712276242   6400299,76257598
68899,1676087637   6400300,53492611
68999,1639793849   6400301,30825332
69099,1603394725   6400302,08255762
69199,1566890114   6400302,85783899
69299,1530279862   6400303,63409745
69399,1493563817   6400304,41133298
69499,1456741827   6400305,1895456
69599,1419813738   6400305,96873529
69699,1382779399   6400306,74890206
69799,1345638656   6400307,5300459
69899,1308391358   6400308,31216682
69999,1271037351   6400309,09526482
70099,1233576483   6400309,87933989
70199,1196008601   6400310,66439203
70299,1158333554   6400311,45042124
70399,1120551187   6400312,23742753
70499,108266135   6400313,02541089
70599,1044663889   6400313,81437131
70699,1006558651   6400314,60430881
70799,0968345485   6400315,39522338
70899,0930024237   6400316,18711501
70999,0891594755   6400316,97998372
71099,0853056887   6400317,77382948
71199,0814410479   6400318,56865232
71299,077565538   6400319,36445222
71399,0736791436   6400320,16122918
71499,0697818496   6400320,95898321
71599,0658736406   6400321,7577143
71699,0619545015   6400322,55742245
71799,0580244169   6400323,35810766
71899,0540833716   6400324,15976994
71999,0501313503   6400324,96240927
72099,0461683379   6400325,76602567
72199,0421943189   6400326,57061912
72299,0382092783   6400327,37618962
72399,0342132006   6400328,18273719
72499,0302060708   6400328,99026181
72599,0261878734   6400329,79876349
72699,0221585933   6400330,60824222
72799,0181182152   6400331,418698
72899,0140667239   6400332,23013084
72999,0100041041   6400333,04254073
73099,0059303405   6400333,85592767
73199,0018454178   6400334,67029167
73298,9977493209   6400335,48563271
73398,9936420345   6400336,3019508
73498,9895235433   6400337,11924594
73598,9853938321   6400337,93751812
73698,9812528856   6400338,75676736
73798,9771006885   6400339,57699363
73898,9729372256   6400340,39819696
73998,9687624817   6400341,22037733
74098,9645764415   6400342,04353474
74198,9603790897   6400342,8676692
74298,9561704111   6400343,69278069
74398,9519503904   6400344,51886923
74498,9477190124   6400345,34593481
74598,9434762618   6400346,17397743
74698,9392221234   6400347,00299709
74798,9349565819   6400347,83299378
74898,9306796221   6400348,66396752
74998,9263912286   6400349,49591829
75098,9220913864   6400350,32884609
75198,91778008   6400351,16275093
75298,9134572942   6400351,99763281
75398,9091230139   6400352,83349172
75498,9047772237   6400353,67032766
75598,9004199083   6400354,50814063
75698,8960510526   6400355,34693064
75798,8916706413   6400356,18669767
75898,8872786591   6400357,02744173
75998,8828750907   6400357,86916282
76098,878459921   6400358,71186094
76198,8740331346   6400359,55553609
76298,8695947164   6400360,40018826
76398,865144651   6400361,24581746
76498,8606829232   6400362,09242369
76598,8562095177   6400362,94000693
76698,8517244194   6400363,7885672
76798,8472276128   6400364,63810449
76898,8427190829   6400365,48861881
76998,8381988143   6400366,34011014
77098,8336667918   6400367,19257849
77198,8291230001   6400368,04602387
77298,824567424   6400368,90044626
77398,8200000482   6400369,75584567
77498,8154208574   6400370,61222209
