
79,23   6400000,07923
158,459999987901   6400000,15943734
237,689999951603   6400000,24062203
316,919999879008   6400000,32278406
396,149999758016   6400000,40592344
475,379999576528   6400000,49004016
554,609999322444   6400000,57513422
633,839998983667   6400000,66120562
713,069998548095   6400000,74825437
792,299998003631   6400000,83628047
871,529997338174   6400000,9252839
950,759996539627   6400001,01526468
1029,98999559589   6400001,1062228
1109,21999449486   6400001,19815827
1188,44999322444   6400001,29107108
1267,67999177254   6400001,38496123
1346,90999012705   6400001,47982873
1426,13998827587   6400001,57567357
1505,36998620691   6400001,67249575
1584,59998390806   6400001,77029528
1663,82998136722   6400001,86907214
1743,05997857231   6400001,96882636
1822,28997551121   6400002,06955791
1901,51997217183   6400002,17126681
1980,74996854207   6400002,27395305
2059,97996460983   6400002,37761664
2139,20996036301   6400002,48225756
2218,43995578951   6400002,58787583
2297,66995087724   6400002,69447144
2376,89994561409   6400002,8020444
2456,12993998796   6400002,9105947
2535,35993398676   6400003,02012234
2614,58992759838   6400003,13062732
2693,81992081073   6400003,24210965
2773,04991361171   6400003,35456931
2852,27990598922   6400003,46800633
2931,50989793115   6400003,58242068
3010,73988942542   6400003,69781237
3089,96988045992   6400003,81418141
3169,19987102254   6400003,93152779
3248,42986110121   6400004,04985151
3327,6598506838   6400004,16915258
3406,88983975823   6400004,28943098
3486,1198283124   6400004,41068673
3565,3498163342   6400004,53291982
3644,57980381153   6400004,65613025
3723,80979073231   6400004,78031803
3803,03977708442   6400004,90548314
3882,26976285578   6400005,0316256
3961,49974803427   6400005,1587454
4040,72973260781   6400005,28684254
4119,95971656428   6400005,41591702
4199,18969989161   6400005,54596885
4278,41968257767   6400005,67699801
4357,64966461038   6400005,80900452
4436,87964597764   6400005,94198837
4516,10962666734   6400006,07594956
4595,33960666739   6400006,21088809
4674,56958596569   6400006,34680396
4753,79956455014   6400006,48369717
4833,02954240863   6400006,62156772
4912,25951952908   6400006,76041562
4991,48949589938   6400006,90024085
5070,71947150744   6400007,04104343
5149,94944634114   6400007,18282335
5229,17942038841   6400007,3255806
5308,40939363713   6400007,4693152
5387,6393660752   6400007,61402714
5466,86933769053   6400007,75971642
5546,09930847103   6400007,90638304
5625,32927840458   6400008,05402699
5704,55924747909   6400008,20264829
5783,78921568246   6400008,35224693
5863,0191830026   6400008,50282291
5942,24914942739   6400008,65437623
6021,47911494476   6400008,80690689
6100,70907954258   6400008,96041489
6179,93904320878   6400009,11490023
6259,16900593124   6400009,27036291
6338,39896769787   6400009,42680292
6417,62892849657   6400009,58422028
6496,85888831524   6400009,74261498
6576,08884714177   6400009,90198701
6655,31880496409   6400010,06233639
6734,54876177007   6400010,2236631
6813,77871754763   6400010,38596716
6893,00867228466   6400010,54924855
6972,23862596907   6400010,71350728
7051,46857858876   6400010,87874335
7130,69853013162   6400011,04495676
7209,92848058556   6400011,2121475
7289,15842993849   6400011,38031559
7368,38837817829   6400011,54946101
7447,61832529288   6400011,71958377
7526,84827127015   6400011,89068387
7606,078216098   6400012,06276131
7685,30815976434   6400012,23581609
7764,53810225706   6400012,4098482
7843,76804356407   6400012,58485765
7922,99798367327   6400012,76084444
8002,22792257256   6400012,93780857
8081,45786024984   6400013,11575003
8160,68779669301   6400013,29466884
8239,91773188997   6400013,47456498
8319,14766582863   6400013,65543845
8398,37759849688   6400013,83728927
8477,60752988263   6400014,02011742
8556,83745997377   6400014,2039229
8636,06738875822   6400014,38870573
8715,29731622386   6400014,57446589
8794,5272423586   6400014,76120339
8873,75716715034   6400014,94891822
8952,98709058698   6400015,13761039
9032,21701265643   6400015,3272799
9111,44693334658   6400015,51792674
9190,67685264534   6400015,70955092
9269,90677054061   6400015,90215243
9349,13668702028   6400016,09573128
9428,36660207226   6400016,29028747
9507,59651568445   6400016,48582099
9586,82642784476   6400016,68233185
9666,05633854107   6400016,87982004
9745,2862477613   6400017,07828557
9824,51615549335   6400017,27772843
9903,74606172511   6400017,47814863
9982,97596644448   6400017,67954616
10062,2058696394   6400017,88192103
10141,4357712977   6400018,08527323
10220,6656714073   6400018,28960277
10299,8955699562   6400018,49490964
10379,1254669322   6400018,70119385
10458,3553623232   6400018,90845539
10537,5852561171   6400019,11669426
10616,8151483019   6400019,32591047
10696,0450388653   6400019,53610401
10775,2749277955   6400019,74727489
10854,5048150801   6400019,9594231
10933,7347007072   6400020,17254864
11012,9645846646   6400020,38665151
11092,1944669402   6400020,60173172
11171,424347522   6400020,81778927
11250,6542263978   6400021,03482414
11329,8841035556   6400021,25283635
11409,1139789832   6400021,47182589
11488,3438526685   6400021,69179276
11567,5737245995   6400021,91273697
11646,803594764   6400022,1346585
11726,03346315   6400022,35755737
11805,2633297453   6400022,58143357
11884,4931945378   6400022,80628711
11963,7230575155   6400023,03211797
12042,9529186663   6400023,25892617
12122,182777978   6400023,4867117
12201,4126354385   6400023,71547456
12280,6424910359   6400023,94521475
12359,8723447578   6400024,17593227
12439,1021965923   6400024,40762712
12518,3320465273   6400024,64029931
12597,5618945507   6400024,87394882
12676,7917406503   6400025,10857567
12756,021584814   6400025,34417984
12835,2514270298   6400025,58076135
12914,4812672856   6400025,81832018
12993,7111055693   6400026,05685635
13072,9409418687   6400026,29636984
13152,1707761718   6400026,53686067
13231,4006084665   6400026,77832882
13310,6304387406   6400027,0207743
